address,price,lot_sqft,Zoning,sqft_per_unit,max_units,price_per_unit
11566  Dona Teresa,3400000,8218.0,RE15-1-H,15000.0,0.5478666666666666,6205890.0
8532  Adah Street,1179000,7875.0,Outside LA (No Zoning),0.0,,
22158  Elkwood Street,1349999,7613.0,RS-1,7500.0,1.0150666666666666,1329961.0
7343  Hannon St,999999,7336.0,Outside LA (No Zoning),0.0,,
2205  Starlight Lane,1550000,6276.0,Outside LA (No Zoning),0.0,,
7927  Zelzah,869999,6001.0,R1-1,5000.0,1.2002,724878.0
1646 E 41st,649000,5349.0,R2-1,5000.0,1.0698,606655.0
15302  Doty,1129000,5259.0,Outside LA (No Zoning),0.0,,
806 W Spruce,620000,3755.0,Outside LA (No Zoning),0.0,,
823 E 10th,899999,1664.0,Outside LA (No Zoning),0.0,,
3099  Mandeville Canyon Road,70000000,4878720.0,RE40-1-H,40000.0,121.968,573921.0
13103  Angeles Trail Way,945000,3590259.0,RD6-1XL,6000.0,598.3765,1579.0
13204  Alta Vista Way,880000,3589083.0,RD6-1XL,6000.0,598.1805,1471.0
415  Stunt Road,5395000,1618614.0,Outside LA (No Zoning),0.0,,
2930  Sweetwater Mesa Road,38000000,1538455.0,Outside LA (No Zoning),0.0,,
1165  Cherokee,799900,1495800.0,Outside LA (No Zoning),0.0,,
7282  Woodvale Court,1275000,1491352.0,Outside LA (No Zoning),0.0,,
13511  Mulholland Drive,2750000,1359715.0,RE40-1-H,40000.0,33.992875,80899.0
16321  Pacific Coast,1795000,883701.72,RE40-1-O,40000.0,22.092543,81249.0
9904  Kip Drive,79000000,860310.0,RE15-1-H-HCR,15000.0,57.354,1377410.0
2801  Woodwardia Drive,1860000,847362.0,RE15-1-H-RPD-HCR,15000.0,56.4908,32926.0
2790  Woodwardia Drive,2195000,847362.0,RE15-1-H-RPD-HCR,15000.0,56.4908,38856.0
12386  Ridge Circle,2695000,701943.0,Outside LA (No Zoning),0.0,,
1005  Bel Air Court,48985000,582944.0,RE20-1-H-HCR,20000.0,29.1472,1680607.0
18555  Fieldbrook Street,13800000,494769.0,Outside LA (No Zoning),0.0,,
10161  Foothill Boulevard,2295000,449631.0,A2-1-K,5000.0,89.9262,25521.0
22252 W ALTA Drive,2600000,440151.0,Outside LA (No Zoning),0.0,,
25043  Abercrombie Lane,6495000,435156.0,Outside LA (No Zoning),0.0,,
23000  Saddle Peak Road,4590000,405005.0,Outside LA (No Zoning),0.0,,
2880  Woodwardia Drive,2095000,404375.0,RE15-1-H-RPD-HCR,15000.0,26.958333333333332,77713.0
9145  La Tuna Canyon Road,5250000,395960.0,A2-1-K,5000.0,79.192,66295.0
10644  Bellagio Road,190000000,366118.0,RE40-1-HCR,40000.0,9.15295,20758335.0
23593  Park South Street,7995000,363457.0,Outside LA (No Zoning),0.0,,
17838  Little Tujunga Canyon Road,1575000,362804.0,Outside LA (No Zoning),0.0,,
1420  Davies Drive,69995000,339768.0,RE40-1-H-HCR,40000.0,8.4942,8240329.0
1420  Davies Drive,87000000,339768.0,RE40-1-H-HCR,40000.0,8.4942,10242283.0
4099  Mandeville Canyon Rd,7950000,338627.0,RE15-1-H,15000.0,22.575133333333333,352157.0
701  Greenleaf Canyon Road,3495000,321479.0,Outside LA (No Zoning),0.0,,
701  Greenleaf Canyon Road,4999999,321479.0,Outside LA (No Zoning),0.0,,
10275  Century Woods Drive,6495000,310463.0,R4-2-O,400.0,776.1575,8368.0
10288  Century Woods Drive,6895000,310341.0,R4-2-O,400.0,775.8525,8887.0
4  Poppy Trail,3998000,304332.0,Outside LA (No Zoning),0.0,,
2322  Canyonback Road,4495000,288553.0,RE40-1-H,40000.0,7.213825,623109.0
11270  Dominica Avenue,4850000,286532.0,A2-1-K,5000.0,57.3064,84633.0
12683  Promontory Road,3595000,268913.0,Outside LA (No Zoning),0.0,,
1261  Angelo Drive,175000000,262828.0,RE40-1-H-HCR,40000.0,6.5707,26633388.0
1420  Moraga Drive,13500000,261443.0,RE40-1-H-HCR,40000.0,6.536075,2065460.0
682  Deodar Lane,5980000,261289.0,Outside LA (No Zoning),0.0,,
301  Loma Metisse Road,5995000,251760.0,Outside LA (No Zoning),0.0,,
34  Crest,13800000,239120.0,Outside LA (No Zoning),0.0,,
2282  Canyonback Road,3149000,237867.0,RE40-1-H,40000.0,5.946675,529540.0
12833  Chalon Road,49500000,234088.0,RE40-1-H,40000.0,5.8522,8458358.0
2911  Antelo View Drive,35500000,233481.0,RE40-1-H-HCR,40000.0,5.837025,6081865.0
2121  Mckain Street,6250000,228870.0,Outside LA (No Zoning),0.0,,
2571  Wallingford Drive,52000000,226583.0,RE20-1-H-HCR,20000.0,11.32915,4589930.0
947 N Glendora Avenue,999999,5.166,Outside LA (No Zoning),0.0,,
99  Bliss Canyon Road,17990000,220881.0,Outside LA (No Zoning),0.0,,
1220  Hillcrest Avenue,22000000,217696.0,Outside LA (No Zoning),0.0,,
2241  Canyonback Road,2095000,213601.0,Outside LA (No Zoning),0.0,,
2205  Canyonback Road,3690000,213601.0,Outside LA (No Zoning),0.0,,
633  Norumbega Drive,1295000,212199.0,Outside LA (No Zoning),0.0,,
1714  Stone Canyon Road,17680000,207852.0,RE40-1-H-HCR,40000.0,5.1963,3402421.0
23244 W Paloma Blanca Drive,9247000,206931.0,Outside LA (No Zoning),0.0,,
12555  The Vista,1699000,204463.0,Outside LA (No Zoning),0.0,,
3121  Old Topanga Canyon Road,15000000,200699.0,Outside LA (No Zoning),0.0,,
2431  Benedict Canyon Drive,3695000,198865.0,RE40-1-H-HCR,40000.0,4.971625,743218.0
470  Layton Way,47000000,198737.0,RE20-1-H,20000.0,9.93685,4729869.0
21965  Saddle Peak Road,4295000,195354.0,Outside LA (No Zoning),0.0,,
26363  Pines Estates Drive,1350000,194954.0,Outside LA (No Zoning),0.0,,
11  Deodar Lane,17600000,193697.0,Outside LA (No Zoning),0.0,,
4535  Vanalden Avenue,19999000,193294.0,RA-1,17500.0,11.045371428571428,1810623.0
23614  Dry Canyon Cold Creek Rd,11495000,192693.0,Outside LA (No Zoning),0.0,,
2119  Shelburne Way,1380000,192018.0,Outside LA (No Zoning),0.0,,
2123  Shelburne Way,1458000,192018.0,Outside LA (No Zoning),0.0,,
7576  McGroarty Terrace,2800000,191644.0,RE40-1,40000.0,4.7911,584417.0
21801  Burbank Boulevard,780000,4.25,Outside LA (No Zoning),0.0,,
20580  Natoma Estates Drive,9995000,176569.0,RE40-1,40000.0,4.414225,2264271.0
26474  Ranch Creek Road,3150000,168881.0,Outside LA (No Zoning),0.0,,
1170 N Englewild Dr.,2988000,168577.0,Outside LA (No Zoning),0.0,,
9228  Ventana Lane,725000,166558.0,Outside LA (No Zoning),0.0,,
23575  Park South Street,6995000,162860.0,Outside LA (No Zoning),0.0,,
13126  Garden Land Road,6995000,160888.0,RE15-1-H,15000.0,10.725866666666667,652162.0
10066  Cielo Drive,49950000,156893.0,RE15-1-H-HCR,15000.0,10.459533333333333,4775548.0
1200 S Arroyo Boulevard,13950000,153412.0,Outside LA (No Zoning),0.0,,
